date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:46:47	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2005:46:47%20GMT	https://lnsp-cg.org/ncov2/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:48	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2005:46:48%20GMT	https://lnsp-cg.org/ncov2/vendor/jquery-easing/jquery.easing.min.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/vendor/jquery-easing/jquery.easing.min.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:48	1106/1106	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20May%202020%2012:47:44%20GMT	https://lnsp-cg.org/ncov2/js/sb-admin-2.min.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/js/sb-admin-2.min.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:48	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2005:46:48%20GMT	https://lnsp-cg.org/ncov2/vendor/chart.js/Chart.min.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/vendor/chart.js/Chart.min.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:48	3429/3429	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Jul%202020%2006:26:22%20GMT	https://lnsp-cg.org/ncov2/js/demo/chart-area-demo.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/js/demo/chart-area-demo.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:49	1073/1073	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20May%202020%2015:14:42%20GMT	https://lnsp-cg.org/ncov2/js/demo/chart-pie-demo.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/js/demo/chart-pie-demo.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:50	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2005:46:50%20GMT	https://lnsp-cg.org/ncov2/vendor/datatables/jquery.dataTables.min.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/vendor/datatables/jquery.dataTables.min.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:50	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Dec%202022%2005:46:50%20GMT	https://lnsp-cg.org/ncov2/vendor/datatables/dataTables.bootstrap4.min.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/vendor/datatables/dataTables.bootstrap4.min.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:50	103/103	---M--	200	added ('OK')	application/javascript	date:Wed,%2020%20May%202020%2023:53:32%20GMT	https://lnsp-cg.org/ncov2/js/demo/datatables-demo.js	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/js/demo/datatables-demo.js	(from https://lnsp-cg.org/ncov2/index.php)
06:46:51	129590/129590	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2020%20May%202020%2012:48:04%20GMT	https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.eot	C:/Users/Silva/Documents/site/pcr/lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/webfonts/fa-brands-400.eot	(from https://lnsp-cg.org/ncov2/lnsp/vendor/fontawesome-free/css/all.min.css)
